status,site_name,street,zip_code,city,country,country_code,latitude,longitude,operator,verified_for_trucks,green_certified,lots_partner,restrooms,food,wifi,card_terminal,truck_parking,showers,truck_wash,google_maps_url,date_when_added_to_list,source,comments,accuracy_score,identification_document
200,POSTO DE GASOLINA JB CAXIAS LTDA,"RODOVIA WASHINGTON LUIS,  14689",25250000,DUQUE DE CAXIAS,Brazil,BR,-22.464628,-43.223035,RAIZEN,true,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20DE%20GASOLINA%20JB%20CAXIAS%20LTDA%20RODOVIA%20WASHINGTON%20LUIS%2C%20%2014689%20DUQUE%20DE%20CAXIAS%20RJ,2025-10-29,ANP API v1,,100.0,08064380000130
200,CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.,"RODOVIA BR 101, KM 110,5,  S/N",48010970,ALAGOINHAS,Brazil,BR,-8.22748,-36.361136,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=CPD%20ENERGETICOS%20E%20DERIVADOS%20DE%20PETROLEO%20LTDA.%20RODOVIA%20BR%20101%2C%20KM%20110%2C5%2C%20%20S%2FN%20ALAGOINHAS%20BA,2025-10-29,ANP API v1,,88.0,08359486000160
200,VIEIRA & RABELO LTDA,"RODOVIA ROD MARGEM DA PE 75, KM 01,  S/N",55900000,GOIANA,Brazil,BR,-8.426177,-38.160166,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=VIEIRA%20%26%20RABELO%20LTDA%20RODOVIA%20ROD%20MARGEM%20DA%20PE%2075%2C%20KM%2001%2C%20%20S%2FN%20GOIANA%20PE,2025-10-29,ANP API v1,,88.0,05822300000170
200,POSTO GARCIA DE CAMPINAS LTDA,"RODOVIA ANHANGUERA,  S/N",13063000,CAMPINAS,Brazil,BR,-16.05593,-45.142527,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20GARCIA%20DE%20CAMPINAS%20LTDA%20RODOVIA%20ANHANGUERA%2C%20%20S%2FN%20CAMPINAS%20SP,2025-10-29,ANP API v1,,87.0,07017009000154
200,CAUIPE REVENDEDORA DE PETROLEO LTDA,"RODOVIA BR 116 KM 10.4,  S/N",60842395,FORTALEZA,Brazil,BR,-3.965528,-38.515214,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=CAUIPE%20REVENDEDORA%20DE%20PETROLEO%20LTDA%20RODOVIA%20BR%20116%20KM%2010.4%2C%20%20S%2FN%20FORTALEZA%20CE,2025-10-29,ANP API v1,,87.0,35075597000460
200,POSTO DE ABASTECIMENTO VITORIA 040 LTDA.,"ESTRADA BR 040,  KM82,9",25665091,PETROPOLIS,Brazil,BR,-11.263751,-44.66409,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20DE%20ABASTECIMENTO%20VITORIA%20040%20LTDA.%20ESTRADA%20BR%20040%2C%20%20KM82%2C9%20PETROPOLIS%20RJ,2025-10-29,ANP API v1,,86.0,07570135000131
200,RODOPOSTO TURMALINA LTDA,"RODOVIA ANHANGUERA,  S/N",13490000,CORDEIROPOLIS,Brazil,BR,-16.05593,-45.142527,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=RODOPOSTO%20TURMALINA%20LTDA%20RODOVIA%20ANHANGUERA%2C%20%20S%2FN%20CORDEIROPOLIS%20SP,2025-10-29,ANP API v1,,86.0,05122863000155
200,AUTO POSTO VIADUTO LTDA,"RODOVIA BR 282 - KM 05,  S/N",88130005,PALHOCA,Brazil,BR,-22.56636,-55.68964,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20VIADUTO%20LTDA%20RODOVIA%20BR%20282%20-%20KM%2005%2C%20%20S%2FN%20PALHOCA%20SC,2025-10-29,ANP API v1,,86.0,04308884000369
200,POSTO JP MOSSORO LTDA,"AVENIDA WILSON ROSADO DE SA,  2000",59607045,MOSSORO,Brazil,BR,-19.876705,-43.921154,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20JP%20MOSSORO%20LTDA%20AVENIDA%20WILSON%20ROSADO%20DE%20SA%2C%20%202000%20MOSSORO%20RN,2025-10-29,ANP API v1,,86.0,04899438000104
200,DORIA & SARMENTO COMÉRCIO DE COMBUSTÍVEIS LTDA - EPP.,"RODOVIA BR 316,  S/N",57690000,ATALAIA,Brazil,BR,-22.56636,-55.68964,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=DORIA%20%26%20SARMENTO%20COM%C3%89RCIO%20DE%20COMBUST%C3%8DVEIS%20LTDA%20-%20EPP.%20RODOVIA%20BR%20316%2C%20%20S%2FN%20ATALAIA%20AL,2025-10-29,ANP API v1,,86.0,07150975000145
200,MOTOCAP COMBUSTIVEIS LTDA,"RODOVIA GETHER LOPES DE FARIAS,  2600",29705390,COLATINA,Brazil,BR,-19.487989,-40.673861,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=MOTOCAP%20COMBUSTIVEIS%20LTDA%20RODOVIA%20GETHER%20LOPES%20DE%20FARIAS%2C%20%202600%20COLATINA%20ES,2025-10-29,ANP API v1,,86.0,05791319000104
200,AUTO POSTO GIROMANILHA LTDA,"RODOVIA BR 101,  SN",24800001,ITABORAI,Brazil,BR,-8.22748,-36.361136,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20GIROMANILHA%20LTDA%20RODOVIA%20BR%20101%2C%20%20SN%20ITABORAI%20RJ,2025-10-29,ANP API v1,,85.0,06095466000102
