status;site_name;street;zip_code;city;country;country_code;uf;latitude;longitude;operator;verified_for_trucks;green_certified;lots_partner;restrooms;food;wifi;card_terminal;truck_parking;showers;truck_wash;google_maps_url;date_when_added_to_list;source;comments;accuracy_score;identification_document
200;AUTO POSTO PARANAGUA LTDA;RODOVIA SANTOS DUMONT,  850;25211000;DUQUE DE CAXIAS;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28768778000164
200;POSTO DE GASOLINA JOTA LTDA;RODOVIA WASHINGTON LUIZ,  5920;25055009;DUQUE DE CAXIAS;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28768810000101
200;AUTO POSTO CASACA LTDA;RODOVIA SANTOS DUMONT,  S/N;25943320;GUAPIMIRIM;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28837938000180
200;SOCIEDADE COMERCIAL SANTA MARIA LTDA.;RODOVIA BR-381,  2800;32280680;CONTAGEM;Brazil;BR;MG;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;23234230000110
200;POSTO JARDIM ITATIAIA LTDA;RODOVIA PRESIDENTE DUTRA,  S/N;27580000;ITATIAIA;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;31457278000116
200;IRMAOS FERREIRA COMERCIO DE COMBUSTIVEIS LTDA;RODOVIA BR 101, KM 139,  SN;27998000;CARAPEBUS;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;32059362000144
200;PARELHAS GAS LTDA;RODOVIA BR 226,  SN;59200000;SANTA CRUZ;Brazil;BR;RN;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;24206617000550
200;AUTO POSTO CONTORNO LTDA;RODOVIA BR 101,  S/N;29140970;CARIACICA;Brazil;BR;ES;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;27016518000170
200;REDE 1000 LTDA;RODOVIA MG 424,  S/N;33600000;PEDRO LEOPOLDO;Brazil;BR;MG;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;17610403000155
200;AUTO POSTO GUARAIUBA LTDA;VIA PARAFUSO,  S/N;42849000;CAMACARI;Brazil;BR;BA;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;84;33859083000128
200;M DE AGUIAR COM. DE COMBUSTIVEIS E DER. DE PETROLEO LTD;RODOVIA BR 324,  S/N;40000000;SALVADOR;Brazil;BR;BA;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;83;34310961000114
200;POSTO DE GASOLINA IMPERATRIZ LTDA;RODOVIA PRESIDENTE DUTRA,  17.869;26030003;NOVA IGUACU;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;81;30815666000169
200;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18,  3536;94760970;VIAMAO;Brazil;BR;RS;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;02308408000150
200;POSTO CAMPO BELO LTDA;RODOVIA BR 101,  80;59115001;NATAL;Brazil;BR;RN;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;02316952000225
200;POSTO DE GASOLINA TREMENDAO LTDA;RODOVIA BR 101,  SN;28115000;CAMPOS DOS GOYTACAZES;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;32360034000183
200;AUTO POSTO MENDONCA LTDA;" LOC  BR 235,  S N";49580000;AREIA BRANCA;Brazil;BR;SE;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;15591589000117
200;SODIC SOCIEDADE REVENDEDORA DE COMBUSTIVEIS LTDA;RODOVIA BA 528 ESTRADA DA BASE NAVAL DE ARATU,  4814;40810010;SALVADOR;Brazil;BR;BA;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;15847874000660
200;POSTO DE GASOLINA BRAGAL LTDA;RODOVIA BR 101,  S/N;28860000;CASIMIRO DE ABREU;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28372407000169
200;A P JET REVENDA DE COMBUSTIVEL LTDA;RODOVIA LUCIO MEIRA,  KM 14;27250050;VOLTA REDONDA;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;39758990000167
200;POSTO RIO ESTORIL LTDA;RODOVIA BR 101,  S/N;28800000;RIO BONITO;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;27188960000183
200;AUTO SERVICO SAO CRISTOVAO LTDA;AVENIDA MARIO GURGEL,  3.940;29147345;CARIACICA;Brazil;BR;ES;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;27396415000182
200;FRANCISCO ASSIS NETO POSTO IGUANA;AVENIDA PRESIDENTE DUTRA,  S/N;59631000;MOSSORO;Brazil;BR;RN;;;FAN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;08350555000841
200;POSTO TIO ZICO II LTDA.;RODOVIA BR 376,  25000;83090650;SAO JOSE DOS PINHAIS;Brazil;BR;PR;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03303820000140
200;CENTRO DE SERVICOS FRANGO ASSADO -NORTE LTDA;VIA ANHANGUERA,  S/N;13290000;LOUVEIRA;Brazil;BR;SP;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;02896671000108
200;POSTO NEVES E VIANA LTDA;RODOVIA BR 222,  S/N;61605600;CAUCAIA;Brazil;BR;CE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;04327828000100
200;M. S. PETROLEO LTDA;RODOVIA BR 116,  2620;60850000;FORTALEZA;Brazil;BR;CE;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;02487286000107
200;MELLO BEZERRA COMERCIAL DE COMBUSTIVEL LTDA.;RODOVIA ESTRADA DO COCO, KM 22,  S/N;42829710;CAMACARI;Brazil;BR;BA;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;04718804000181
200;SODIC SOCIEDADE REVENDEDORA DE COMBUSTIVEIS LTDA;RODOVIA BR  324,  6656;41230200;SALVADOR;Brazil;BR;BA;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;84;15847874000318
200;PETRO CABO LTDA;RODOVIA PE 60,  1900;54518343;CABO DE SANTO AGOSTINHO;Brazil;BR;PE;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;05097635000172
200;PETROLEO SUAPE LTDA;RODOVIA PE 60,  6927;54521010;CABO DE SANTO AGOSTINHO;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03129077000154
200;AUTO POSTO GOMES NOGUEIRA LTDA.;" BR-101/RJ,  KM 288";24800001;ITABORAI;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03705253000159
200;ANTONIO SANTINI AUTO POSTO DE COMBUSTIVEIS LTDA;" BR 393 KM 200,  SN";27660000;RIO DAS FLORES;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;05097374000190
200;J MENDES REVENDEDORA DE COMBUSTIVEIS E DERIVADOS LTDA;AVENIDA FRANCISCO MOTA,  1778;59625526;MOSSORO;Brazil;BR;RN;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03315118000105
200;AUTO POSTO DE SERVICOS VIA DUTRA 1 LTDA;RODOVIA PRESIDENTE DUTRA,  17500;26020005;NOVA IGUACU;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;04010834000139
200;BOQUEIRAO COMERCIO DE DERIVADOS DE PETROLEO LTDA;RODOVIA BR 222 KM 21,  S/N;61616000;CAUCAIA;Brazil;BR;CE;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;07130954000168
200;COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES RONSANI LTDA;RODOVIA ICR 353,  S/N;88820000;ICARA;Brazil;BR;SC;;;RAIZEN MIME;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;07396885000139
200;COMERCIAL PARAKY DE COMBUSTIVEIS LTDA.;RODOVIA BA. 093, KM 01,  S/N;43700000;SIMOES FILHO;Brazil;BR;BA;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;83;02988538000181
200;AUTO POSTO RURAL DE SEROPEDICA LTDA;ESTRADA RIO SAO PAULO,  S/N;23890001;SEROPEDICA;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;83;03754346000173
